User ID,SceneId,Method 1,Method 2,Result,Time
260,61,2,3,1,6
260,70,1,3,1,10
260,89,2,3,1,5
260,64,3,1,2,5
260,54,2,3,1,7
260,37,1,3,1,3
260,14,3,1,1,5
260,1,2,3,2,3
260,62,3,1,2,6
260,18,1,3,1,5
260,28,3,2,2,6
260,55,1,3,1,2
260,86,2,3,1,3
260,20,3,1,2,6
260,74,2,1,1,3
260,85,1,3,1,2
260,45,1,3,1,2
260,35,3,1,1,1
260,25,3,1,2,6
260,36,3,1,2,6
256,85,1,2,2,11
256,35,2,3,1,6
256,81,2,1,1,8
256,17,3,2,2,5
256,39,1,3,1,8
256,50,2,3,1,7
256,32,1,3,2,28
256,28,1,3,2,8
256,24,2,1,1,48
256,89,2,3,1,10
256,40,2,3,1,12
256,78,1,3,2,8
256,76,3,1,1,16
256,86,2,1,1,5
256,88,2,1,1,22
256,43,3,2,2,6
256,79,1,2,1,14
256,63,3,1,2,4
256,75,3,2,2,8
256,62,2,1,1,12
255,3,1,3,1,16
255,31,1,3,1,37
255,6,2,1,1,3
255,63,2,1,2,38
255,8,3,2,2,11
255,78,1,2,1,23
255,75,2,3,1,8
255,53,3,1,1,4
255,39,1,2,2,8
255,89,3,2,2,9
255,67,1,3,1,15
255,51,2,1,1,6
255,32,2,3,1,14
255,44,3,1,2,7
255,4,1,2,2,25
255,21,2,3,1,4
255,15,3,1,2,7
255,58,3,2,2,5
255,70,3,1,2,7
255,86,2,3,1,29
253,13,2,3,1,9
253,20,3,2,2,6
253,80,3,2,2,7
253,52,1,2,2,7
253,62,1,3,2,36
253,41,2,1,1,15
253,50,2,3,1,5
253,87,2,3,1,4
253,67,3,2,2,7
253,31,2,1,1,4
253,28,2,3,1,5
253,39,2,3,1,4
253,83,2,1,1,8
253,46,3,1,2,6
253,32,1,3,2,7
253,56,3,2,2,7
253,59,3,2,2,9
253,49,2,3,1,5
253,1,3,1,1,5
253,27,3,2,2,4
251,69,1,2,2,7
251,26,3,2,1,3
251,39,3,2,2,4
251,31,2,3,1,2
251,81,1,2,2,3
251,19,2,3,1,2
251,42,1,3,1,2
251,18,3,2,1,5
251,58,1,2,2,4
251,63,3,1,2,2
251,41,1,3,1,3
251,29,2,3,1,2
251,90,2,3,1,2
251,85,1,3,1,2
251,89,2,1,2,9
251,21,3,2,2,2
251,54,2,1,1,7
251,36,3,2,2,2
251,71,3,2,1,2
251,88,3,1,2,6
250,87,3,1,2,8
250,40,1,3,1,5
250,74,3,1,1,4
250,69,3,1,2,5
250,59,1,3,2,8
250,21,2,3,1,3
250,57,1,2,2,3
250,84,3,1,2,3
250,72,3,2,2,3
250,17,3,2,2,2
250,15,1,3,1,9
250,77,3,2,2,3
250,42,3,1,2,3
250,79,2,1,2,5
250,26,1,3,1,3
250,66,1,3,1,5
250,10,2,1,1,2
250,38,3,2,2,4
250,32,1,2,2,2
250,80,3,2,2,3
249,61,2,1,2,6
249,43,1,3,2,5
249,17,3,2,2,5
249,85,2,3,1,6
249,26,1,2,1,2
249,13,2,1,1,3
249,11,1,3,1,1
249,89,2,3,1,4
249,21,1,2,2,2
249,54,1,2,2,5
249,22,1,3,1,4
249,59,2,3,1,3
249,66,2,3,1,3
249,53,2,1,1,7
249,78,2,3,1,2
249,18,2,3,1,2
249,2,1,2,2,4
249,9,2,1,2,38
249,37,3,1,2,2
249,25,2,1,1,2
248,18,2,1,2,15
248,82,2,3,1,9
248,24,3,2,2,13
248,64,2,1,1,15
248,25,3,1,2,9
248,11,1,3,1,4
248,5,2,1,2,13
248,23,2,3,1,4
248,40,2,3,1,7
248,6,1,3,2,2
248,60,2,1,2,9
248,3,3,2,2,12
248,29,2,1,1,11
248,17,1,2,2,12
248,81,1,3,2,9
248,63,2,1,2,5
248,52,3,1,2,4
248,50,2,1,1,7
248,75,2,1,1,3
248,1,3,2,2,3
247,3,2,1,1,30
247,61,3,1,1,8
247,45,2,1,2,3
247,50,1,2,2,9
247,9,2,3,1,3
247,29,2,3,1,3
247,72,3,2,2,4
247,78,2,1,1,3
247,68,3,2,2,2
247,54,1,3,1,4
247,20,1,2,2,7
247,27,2,3,1,3
247,80,2,3,1,3
247,43,2,3,1,3
247,34,1,2,2,4
247,17,1,3,1,4
247,53,1,2,2,2
247,73,1,3,2,7
247,89,1,2,2,5
247,90,2,1,1,9
246,64,1,2,1,42
246,67,2,1,2,14
246,33,1,3,2,3
246,44,3,2,2,6
246,29,1,2,1,17
246,16,1,3,1,14
246,83,2,3,1,6
246,10,3,2,2,7
246,81,2,1,1,12
246,40,2,3,1,14
246,62,1,3,1,8
246,13,1,3,2,5
246,78,3,2,2,7
246,68,3,2,2,3
246,66,3,1,2,6
246,60,2,1,2,21
246,82,2,1,1,4
246,22,3,2,2,7
246,26,2,1,2,3
246,6,2,1,1,7
245,62,3,1,2,18
245,81,1,3,1,13
245,22,1,2,2,3
245,7,2,3,1,6
245,60,1,2,2,8
245,58,2,1,1,4
245,73,3,1,2,4
245,45,1,3,1,5
245,34,1,3,1,6
245,33,2,3,1,4
245,77,3,1,2,3
245,79,3,1,2,4
245,63,2,1,2,3
245,32,2,3,1,6
245,29,2,1,2,3
245,9,1,2,1,13
245,87,3,2,2,5
245,24,2,1,1,9
245,8,3,2,2,7
245,1,3,1,1,6
244,14,2,3,1,4
244,77,2,1,1,6
244,58,3,2,2,5
244,54,1,3,1,4
244,32,3,2,2,6
244,29,1,2,2,7
244,76,2,3,1,5
244,86,2,1,1,3
244,11,3,1,2,3
244,44,1,2,2,4
244,22,3,2,2,3
244,78,3,2,2,2
244,34,1,3,1,7
244,38,2,3,1,5
244,8,2,3,1,3
244,47,2,3,1,3
244,26,2,1,2,4
244,60,3,1,2,2
244,13,3,2,2,4
244,74,2,3,1,4
243,73,1,2,1,5
243,61,1,2,2,5
243,54,2,3,1,8
243,46,3,2,2,6
243,57,3,1,2,5
243,23,1,2,2,7
243,85,1,2,2,4
243,75,1,3,2,8
243,4,1,3,1,5
243,64,1,2,1,5
243,90,1,2,1,16
243,56,3,1,2,3
243,28,3,2,2,5
243,74,2,3,1,5
243,21,1,2,2,3
243,79,1,3,1,3
243,20,1,2,2,6
243,10,1,2,2,3
243,8,1,3,1,5
243,67,1,3,1,3
